geo,sex,year,ages_at_end,pop_20_28,net_migration,net_pct_of_start
Bronx,all,2021,20-28,186660,-5689,-3.0
Bronx,all,2022,20-28,179818,-5733,-3.1
Bronx,all,2023,20-28,180069,2037,1.1
Bronx,all,2024,20-28,185931,7135,4.0
Bronx,all,2025,20-28,186186,1158,0.6
Bronx,female,2021,20-28,94224,-2888,-3.0
Bronx,female,2022,20-28,90672,-2410,-2.6
Bronx,female,2023,20-28,91295,2235,2.5
Bronx,female,2024,20-28,94764,4901,5.5
Bronx,female,2025,20-28,94717,1171,1.3
Bronx,male,2021,20-28,92436,-2801,-2.9
Bronx,male,2022,20-28,89146,-3323,-3.6
Bronx,male,2023,20-28,88774,-198,-0.2
Bronx,male,2024,20-28,91167,2234,2.5
Bronx,male,2025,20-28,91469,-13,-0.0
Brooklyn,all,2021,20-28,363602,-3223,-0.9
Brooklyn,all,2022,20-28,356985,15264,4.5
Brooklyn,all,2023,20-28,360587,26596,8.0
Brooklyn,all,2024,20-28,367670,31168,9.3
Brooklyn,all,2025,20-28,359856,17680,5.2
Brooklyn,female,2021,20-28,188507,-1016,-0.5
Brooklyn,female,2022,20-28,185190,9104,5.2
Brooklyn,female,2023,20-28,187377,15367,8.9
Brooklyn,female,2024,20-28,190435,17174,9.9
Brooklyn,female,2025,20-28,186304,10574,6.0
Brooklyn,male,2021,20-28,175095,-2207,-1.2
Brooklyn,male,2022,20-28,171795,6160,3.7
Brooklyn,male,2023,20-28,173210,11229,6.9
Brooklyn,male,2024,20-28,177235,13994,8.6
Brooklyn,male,2025,20-28,173552,7106,4.3
Manhattan,all,2021,20-28,247188,-28727,-10.4
Manhattan,all,2022,20-28,268169,37914,16.5
Manhattan,all,2023,20-28,280970,30240,12.1
Manhattan,all,2024,20-28,289146,26936,10.3
Manhattan,all,2025,20-28,286414,17910,6.7
Manhattan,female,2021,20-28,137142,-18024,-11.6
Manhattan,female,2022,20-28,149112,20474,15.9
Manhattan,female,2023,20-28,155578,15030,10.7
Manhattan,female,2024,20-28,159385,13177,9.0
Manhattan,female,2025,20-28,158023,9056,6.1
Manhattan,male,2021,20-28,110046,-10703,-8.9
Manhattan,male,2022,20-28,119057,17440,17.2
Manhattan,male,2023,20-28,125392,15210,13.8
Manhattan,male,2024,20-28,129761,13759,11.9
Manhattan,male,2025,20-28,128391,8854,7.4
NYC,all,2021,20-28,1144634,-37313,-3.2
NYC,all,2022,20-28,1145238,54117,5.0
NYC,all,2023,20-28,1166351,78337,7.2
NYC,all,2024,20-28,1198018,90976,8.2
NYC,all,2025,20-28,1181249,46176,4.1
NYC,female,2021,20-28,591962,-21441,-3.5
NYC,female,2022,20-28,593969,31446,5.6
NYC,female,2023,20-28,606192,43680,7.8
NYC,female,2024,20-28,622422,49393,8.6
NYC,female,2025,20-28,613860,26354,4.5
NYC,male,2021,20-28,552672,-15872,-2.8
NYC,male,2022,20-28,551269,22671,4.3
NYC,male,2023,20-28,560159,34657,6.6
NYC,male,2024,20-28,575596,41583,7.8
NYC,male,2025,20-28,567389,19822,3.6
Queens,all,2021,20-28,289464,-269,-0.1
Queens,all,2022,20-28,283133,6567,2.4
Queens,all,2023,20-28,287509,18573,6.9
Queens,all,2024,20-28,297442,24479,9.0
Queens,all,2025,20-28,291134,8853,3.1
Queens,female,2021,20-28,144145,190,0.1
Queens,female,2022,20-28,141367,4270,3.1
Queens,female,2023,20-28,144263,10572,7.9
Queens,female,2024,20-28,149714,13422,9.8
Queens,female,2025,20-28,146666,5197,3.7
Queens,male,2021,20-28,145319,-459,-0.3
Queens,male,2022,20-28,141766,2297,1.6
Queens,male,2023,20-28,143246,8001,5.9
Queens,male,2024,20-28,147728,11057,8.1
Queens,male,2025,20-28,144468,3656,2.6
Staten Island,all,2021,20-28,57720,595,1.0
Staten Island,all,2022,20-28,57133,105,0.2
Staten Island,all,2023,20-28,57216,891,1.6
Staten Island,all,2024,20-28,57829,1258,2.2
Staten Island,all,2025,20-28,57659,575,1.0
Staten Island,female,2021,20-28,27944,297,1.1
Staten Island,female,2022,20-28,27628,8,0.0
Staten Island,female,2023,20-28,27679,476,1.7
Staten Island,female,2024,20-28,28124,719,2.6
Staten Island,female,2025,20-28,28150,356,1.3
Staten Island,male,2021,20-28,29776,298,1.0
Staten Island,male,2022,20-28,29505,97,0.3
Staten Island,male,2023,20-28,29537,415,1.4
Staten Island,male,2024,20-28,29705,539,1.8
Staten Island,male,2025,20-28,29509,219,0.7
