geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
Bronx,all,v2020,2010,2015,15-19,20-24,115581,122549,6968,6.0
Bronx,all,v2020,2011,2016,15-19,20-24,114572,118815,4243,3.7
Bronx,all,v2020,2012,2017,15-19,20-24,110325,113409,3084,2.8
Bronx,all,v2020,2013,2018,15-19,20-24,106643,108173,1530,1.4
Bronx,all,v2020,2014,2019,15-19,20-24,103357,103768,411,0.4
Bronx,all,v2020,2015,2020,15-19,20-24,100366,99719,-647,-0.6
Bronx,all,v2025,2020,2025,15-19,20-24,104222,101390,-2832,-2.7
Bronx,all,v2020,2010,2015,20-24,25-29,112834,115662,2828,2.5
Bronx,all,v2020,2011,2016,20-24,25-29,113927,120079,6152,5.4
Bronx,all,v2020,2012,2017,20-24,25-29,117981,123613,5632,4.8
Bronx,all,v2020,2013,2018,20-24,25-29,122303,124238,1935,1.6
Bronx,all,v2020,2014,2019,20-24,25-29,123331,123016,-315,-0.3
Bronx,all,v2020,2015,2020,20-24,25-29,122549,119437,-3112,-2.5
Bronx,all,v2025,2020,2025,20-24,25-29,105284,104521,-763,-0.7
Bronx,all,v2020,2010,2015,25-29,30-34,105658,103869,-1789,-1.7
Bronx,all,v2020,2011,2016,25-29,30-34,105739,104365,-1374,-1.3
Bronx,all,v2020,2012,2017,25-29,30-34,106699,105686,-1013,-0.9
Bronx,all,v2020,2013,2018,25-29,30-34,108311,105726,-2585,-2.4
Bronx,all,v2020,2014,2019,25-29,30-34,111437,106282,-5155,-4.6
Bronx,all,v2020,2015,2020,25-29,30-34,115662,107199,-8463,-7.3
Bronx,all,v2025,2020,2025,25-29,30-34,110818,101239,-9579,-8.6
Bronx,female,v2020,2010,2015,15-19,20-24,56166,61229,5063,9.0
Bronx,female,v2020,2011,2016,15-19,20-24,55681,59493,3812,6.8
Bronx,female,v2020,2012,2017,15-19,20-24,53624,56804,3180,5.9
Bronx,female,v2020,2013,2018,15-19,20-24,51966,54262,2296,4.4
Bronx,female,v2020,2014,2019,15-19,20-24,50315,51857,1542,3.1
Bronx,female,v2020,2015,2020,15-19,20-24,48850,49811,961,2.0
Bronx,female,v2025,2020,2025,15-19,20-24,51135,50682,-453,-0.9
Bronx,female,v2020,2010,2015,20-24,25-29,56255,59521,3266,5.8
Bronx,female,v2020,2011,2016,20-24,25-29,56692,61525,4833,8.5
Bronx,female,v2020,2012,2017,20-24,25-29,58584,63177,4593,7.8
Bronx,female,v2020,2013,2018,20-24,25-29,60834,63406,2572,4.2
Bronx,female,v2020,2014,2019,20-24,25-29,61308,62693,1385,2.3
Bronx,female,v2020,2015,2020,20-24,25-29,61229,60837,-392,-0.6
Bronx,female,v2025,2020,2025,20-24,25-29,52450,54170,1720,3.3
Bronx,female,v2020,2010,2015,25-29,30-34,55938,55256,-682,-1.2
Bronx,female,v2020,2011,2016,25-29,30-34,55925,55181,-744,-1.3
Bronx,female,v2020,2012,2017,25-29,30-34,55999,55560,-439,-0.8
Bronx,female,v2020,2013,2018,25-29,30-34,56590,55221,-1369,-2.4
Bronx,female,v2020,2014,2019,25-29,30-34,57864,55309,-2555,-4.4
Bronx,female,v2020,2015,2020,25-29,30-34,59521,55238,-4283,-7.2
Bronx,female,v2025,2020,2025,25-29,30-34,57709,52970,-4739,-8.2
Bronx,male,v2020,2010,2015,15-19,20-24,59415,61320,1905,3.2
Bronx,male,v2020,2011,2016,15-19,20-24,58891,59322,431,0.7
Bronx,male,v2020,2012,2017,15-19,20-24,56701,56605,-96,-0.2
Bronx,male,v2020,2013,2018,15-19,20-24,54677,53911,-766,-1.4
Bronx,male,v2020,2014,2019,15-19,20-24,53042,51911,-1131,-2.1
Bronx,male,v2020,2015,2020,15-19,20-24,51516,49908,-1608,-3.1
Bronx,male,v2025,2020,2025,15-19,20-24,53087,50708,-2379,-4.5
Bronx,male,v2020,2010,2015,20-24,25-29,56579,56141,-438,-0.8
Bronx,male,v2020,2011,2016,20-24,25-29,57235,58554,1319,2.3
Bronx,male,v2020,2012,2017,20-24,25-29,59397,60436,1039,1.7
Bronx,male,v2020,2013,2018,20-24,25-29,61469,60832,-637,-1.0
Bronx,male,v2020,2014,2019,20-24,25-29,62023,60323,-1700,-2.7
Bronx,male,v2020,2015,2020,20-24,25-29,61320,58600,-2720,-4.4
Bronx,male,v2025,2020,2025,20-24,25-29,52834,50351,-2483,-4.7
Bronx,male,v2020,2010,2015,25-29,30-34,49720,48613,-1107,-2.2
Bronx,male,v2020,2011,2016,25-29,30-34,49814,49184,-630,-1.3
Bronx,male,v2020,2012,2017,25-29,30-34,50700,50126,-574,-1.1
Bronx,male,v2020,2013,2018,25-29,30-34,51721,50505,-1216,-2.4
Bronx,male,v2020,2014,2019,25-29,30-34,53573,50973,-2600,-4.9
Bronx,male,v2020,2015,2020,25-29,30-34,56141,51961,-4180,-7.4
Bronx,male,v2025,2020,2025,25-29,30-34,53109,48269,-4840,-9.1
Brooklyn,all,v2020,2010,2015,15-19,20-24,170696,186346,15650,9.2
Brooklyn,all,v2020,2011,2016,15-19,20-24,168372,177973,9601,5.7
Brooklyn,all,v2020,2012,2017,15-19,20-24,160614,169952,9338,5.8
Brooklyn,all,v2020,2013,2018,15-19,20-24,155486,163291,7805,5.0
Brooklyn,all,v2020,2014,2019,15-19,20-24,150768,157902,7134,4.7
Brooklyn,all,v2020,2015,2020,15-19,20-24,146808,152645,5837,4.0
Brooklyn,all,v2025,2020,2025,15-19,20-24,155649,162100,6451,4.1
Brooklyn,all,v2020,2010,2015,20-24,25-29,195816,243210,47394,24.2
Brooklyn,all,v2020,2011,2016,20-24,25-29,196266,247687,51421,26.2
Brooklyn,all,v2020,2012,2017,20-24,25-29,198728,250118,51390,25.9
Brooklyn,all,v2020,2013,2018,20-24,25-29,197331,247507,50176,25.4
Brooklyn,all,v2020,2014,2019,20-24,25-29,192280,242938,50658,26.3
Brooklyn,all,v2020,2015,2020,20-24,25-29,186346,236197,49851,26.8
Brooklyn,all,v2025,2020,2025,20-24,25-29,189483,249011,59528,31.4
Brooklyn,all,v2020,2010,2015,25-29,30-34,222858,224883,2025,0.9
Brooklyn,all,v2020,2011,2016,25-29,30-34,223406,226252,2846,1.3
Brooklyn,all,v2020,2012,2017,25-29,30-34,228456,228714,258,0.1
Brooklyn,all,v2020,2013,2018,25-29,30-34,233690,229247,-4443,-1.9
Brooklyn,all,v2020,2014,2019,25-29,30-34,238371,231128,-7243,-3.0
Brooklyn,all,v2020,2015,2020,25-29,30-34,243210,234195,-9015,-3.7
Brooklyn,all,v2025,2020,2025,25-29,30-34,251631,247284,-4347,-1.7
Brooklyn,female,v2020,2010,2015,15-19,20-24,83972,95421,11449,13.6
Brooklyn,female,v2020,2011,2016,15-19,20-24,82840,91490,8650,10.4
Brooklyn,female,v2020,2012,2017,15-19,20-24,79200,87664,8464,10.7
Brooklyn,female,v2020,2013,2018,15-19,20-24,76767,84454,7687,10.0
Brooklyn,female,v2020,2014,2019,15-19,20-24,74568,82120,7552,10.1
Brooklyn,female,v2020,2015,2020,15-19,20-24,72734,79843,7109,9.8
Brooklyn,female,v2025,2020,2025,15-19,20-24,76228,81618,5390,7.1
Brooklyn,female,v2020,2010,2015,20-24,25-29,99141,126180,27039,27.3
Brooklyn,female,v2020,2011,2016,20-24,25-29,99465,128205,28740,28.9
Brooklyn,female,v2020,2012,2017,20-24,25-29,100978,129423,28445,28.2
Brooklyn,female,v2020,2013,2018,20-24,25-29,100239,127927,27688,27.6
Brooklyn,female,v2020,2014,2019,20-24,25-29,97892,125686,27794,28.4
Brooklyn,female,v2020,2015,2020,20-24,25-29,95421,122848,27427,28.7
Brooklyn,female,v2025,2020,2025,20-24,25-29,96783,131679,34896,36.1
Brooklyn,female,v2020,2010,2015,25-29,30-34,116794,116557,-237,-0.2
Brooklyn,female,v2020,2011,2016,25-29,30-34,116978,117101,123,0.1
Brooklyn,female,v2020,2012,2017,25-29,30-34,119316,117980,-1336,-1.1
Brooklyn,female,v2020,2013,2018,25-29,30-34,121752,118017,-3735,-3.1
Brooklyn,female,v2020,2014,2019,25-29,30-34,124201,118491,-5710,-4.6
Brooklyn,female,v2020,2015,2020,25-29,30-34,126180,119699,-6481,-5.1
Brooklyn,female,v2025,2020,2025,25-29,30-34,132156,127498,-4658,-3.5
Brooklyn,male,v2020,2010,2015,15-19,20-24,86724,90925,4201,4.8
Brooklyn,male,v2020,2011,2016,15-19,20-24,85532,86483,951,1.1
Brooklyn,male,v2020,2012,2017,15-19,20-24,81414,82288,874,1.1
Brooklyn,male,v2020,2013,2018,15-19,20-24,78719,78837,118,0.1
Brooklyn,male,v2020,2014,2019,15-19,20-24,76200,75782,-418,-0.5
Brooklyn,male,v2020,2015,2020,15-19,20-24,74074,72802,-1272,-1.7
Brooklyn,male,v2025,2020,2025,15-19,20-24,79421,80482,1061,1.3
Brooklyn,male,v2020,2010,2015,20-24,25-29,96675,117030,20355,21.1
Brooklyn,male,v2020,2011,2016,20-24,25-29,96801,119482,22681,23.4
Brooklyn,male,v2020,2012,2017,20-24,25-29,97750,120695,22945,23.5
Brooklyn,male,v2020,2013,2018,20-24,25-29,97092,119580,22488,23.2
Brooklyn,male,v2020,2014,2019,20-24,25-29,94388,117252,22864,24.2
Brooklyn,male,v2020,2015,2020,20-24,25-29,90925,113349,22424,24.7
Brooklyn,male,v2025,2020,2025,20-24,25-29,92700,117332,24632,26.6
Brooklyn,male,v2020,2010,2015,25-29,30-34,106064,108326,2262,2.1
Brooklyn,male,v2020,2011,2016,25-29,30-34,106428,109151,2723,2.6
Brooklyn,male,v2020,2012,2017,25-29,30-34,109140,110734,1594,1.5
Brooklyn,male,v2020,2013,2018,25-29,30-34,111938,111230,-708,-0.6
Brooklyn,male,v2020,2014,2019,25-29,30-34,114170,112637,-1533,-1.3
Brooklyn,male,v2020,2015,2020,25-29,30-34,117030,114496,-2534,-2.2
Brooklyn,male,v2025,2020,2025,25-29,30-34,119475,119786,311,0.3
Manhattan,all,v2020,2010,2015,15-19,20-24,77540,118664,41124,53.0
Manhattan,all,v2020,2011,2016,15-19,20-24,76879,116275,39396,51.2
Manhattan,all,v2020,2012,2017,15-19,20-24,74588,114770,40182,53.9
Manhattan,all,v2020,2013,2018,15-19,20-24,72972,112936,39964,54.8
Manhattan,all,v2020,2014,2019,15-19,20-24,71265,111153,39888,56.0
Manhattan,all,v2020,2015,2020,15-19,20-24,69980,110445,40465,57.8
Manhattan,all,v2025,2020,2025,15-19,20-24,75102,119419,44317,59.0
Manhattan,all,v2020,2010,2015,20-24,25-29,141616,198526,56910,40.2
Manhattan,all,v2020,2011,2016,20-24,25-29,139295,196554,57259,41.1
Manhattan,all,v2020,2012,2017,20-24,25-29,132515,193908,61393,46.3
Manhattan,all,v2020,2013,2018,20-24,25-29,126408,190690,64282,50.9
Manhattan,all,v2020,2014,2019,20-24,25-29,121408,188613,67205,55.4
Manhattan,all,v2020,2015,2020,20-24,25-29,118664,188137,69473,58.5
Manhattan,all,v2025,2020,2025,20-24,25-29,135907,207554,71647,52.7
Manhattan,all,v2020,2010,2015,25-29,30-34,186773,170683,-16090,-8.6
Manhattan,all,v2020,2011,2016,25-29,30-34,187803,172811,-14992,-8.0
Manhattan,all,v2020,2012,2017,25-29,30-34,194974,174259,-20715,-10.6
Manhattan,all,v2020,2013,2018,25-29,30-34,198839,174191,-24648,-12.4
Manhattan,all,v2020,2014,2019,25-29,30-34,199444,174944,-24500,-12.3
Manhattan,all,v2020,2015,2020,25-29,30-34,198526,174761,-23765,-12.0
Manhattan,all,v2025,2020,2025,25-29,30-34,199643,175416,-24227,-12.1
Manhattan,female,v2020,2010,2015,15-19,20-24,40588,64356,23768,58.6
Manhattan,female,v2020,2011,2016,15-19,20-24,40291,62942,22651,56.2
Manhattan,female,v2020,2012,2017,15-19,20-24,39159,62159,23000,58.7
Manhattan,female,v2020,2013,2018,15-19,20-24,38387,61229,22842,59.5
Manhattan,female,v2020,2014,2019,15-19,20-24,37766,61088,23322,61.8
Manhattan,female,v2020,2015,2020,15-19,20-24,37328,61095,23767,63.7
Manhattan,female,v2025,2020,2025,15-19,20-24,40017,66231,26214,65.5
Manhattan,female,v2020,2010,2015,20-24,25-29,79851,107396,27545,34.5
Manhattan,female,v2020,2011,2016,20-24,25-29,78380,105351,26971,34.4
Manhattan,female,v2020,2012,2017,20-24,25-29,73461,103267,29806,40.6
Manhattan,female,v2020,2013,2018,20-24,25-29,69248,101065,31817,45.9
Manhattan,female,v2020,2014,2019,20-24,25-29,66201,99153,32952,49.8
Manhattan,female,v2020,2015,2020,20-24,25-29,64356,98544,34188,53.1
Manhattan,female,v2025,2020,2025,20-24,25-29,77649,113305,35656,45.9
