geo,year,inflow_returns,inflow_people,inflow_agi_k,from_other_boroughs_returns,foreign_returns,nonmigrant_returns,nonmigrant_agi_k,mean_agi_in_2023usd,nonmigrant_mean_agi_2023usd,people_per_return,inflow_per_100_resident_returns
Bronx,2012,17856,29577,555271,16052,1216,470284,17503985,41270.0,49396.0,1.66,3.8
Bronx,2013,14004,25544,444550,15670,628,473571,18199924,41521.0,50267.0,1.82,2.96
Bronx,2014,11772,21440,388769,14673,172,480777,18554413,42506.0,49672.0,1.82,2.45
Bronx,2015,10715,19700,318880,13357,141,494658,19761330,38259.0,51358.0,1.84,2.17
Bronx,2016,10663,18950,369840,14627,106,506256,20622663,44034.0,51716.0,1.78,2.11
Bronx,2017,11614,20192,454208,15893,112,507232,20887825,48615.0,51190.0,1.74,2.29
Bronx,2018,11189,19544,438942,13373,125,516670,22250326,47603.0,52256.0,1.75,2.17
Bronx,2019,10989,19324,444427,12706,104,524735,23652475,48201.0,53722.0,1.76,2.09
Bronx,2020,10937,19195,432865,12228,196,520874,24203623,46596.0,54707.0,1.76,2.1
Bronx,2021,11376,19169,557279,11228,248,528918,24134066,55085.0,51309.0,1.69,2.15
Bronx,2022,10175,16755,447249,10236,74,538965,26101948,45765.0,50423.0,1.65,1.89
Bronx,2023,12521,20939,521213,10673,242,530073,25961238,41627.0,48977.0,1.67,2.36
Brooklyn,2012,31685,46266,1322992,27153,929,884952,46065915,55414.0,69084.0,1.46,3.58
Brooklyn,2013,30306,45323,1400130,27251,636,896692,48534891,60428.0,70796.0,1.5,3.38
Brooklyn,2014,28766,42600,1303559,25878,503,911758,51310897,58326.0,72434.0,1.48,3.16
Brooklyn,2015,25787,37923,1162767,22591,441,939728,56481171,57968.0,77268.0,1.47,2.74
Brooklyn,2016,29017,40776,1526106,27711,504,951889,59441182,66770.0,79278.0,1.41,3.05
Brooklyn,2017,33598,46841,1924100,34446,107,949856,60622296,71189.0,79336.0,1.39,3.54
Brooklyn,2018,30772,43004,1776539,29082,127,974546,66066153,70054.0,82261.0,1.4,3.16
Brooklyn,2019,31508,43516,1970619,28990,120,992190,71731778,74542.0,86166.0,1.38,3.18
Brooklyn,2020,29120,40795,1833486,30310,109,976416,72433049,74127.0,87336.0,1.4,2.98
Brooklyn,2021,28509,38769,2236420,29249,117,974796,72158314,88212.0,83239.0,1.36,2.92
Brooklyn,2022,36776,47209,3837707,25382,95,992401,85324692,108649.0,89517.0,1.28,3.71
Brooklyn,2023,40663,52430,3533581,26190,734,997155,87485719,86899.0,87735.0,1.29,4.08
Manhattan,2012,49230,64717,5671210,22169,1637,665849,126083996,152884.0,251304.0,1.31,7.39
Manhattan,2013,46899,62466,6616917,21509,1377,659799,147762755,184540.0,292923.0,1.33,7.11
Manhattan,2014,44059,58659,5954757,20331,1071,660541,143669094,173956.0,279946.0,1.33,6.67
Manhattan,2015,38862,50576,5276905,17940,1174,681659,166696579,174562.0,314380.0,1.3,5.7
Manhattan,2016,44625,57417,7266519,20256,1089,680518,163058732,206728.0,304198.0,1.29,6.56
Manhattan,2017,52004,66945,7279240,24171,87,673235,150253935,173999.0,277431.0,1.29,7.72
Manhattan,2018,46449,59737,6991280,21959,78,687496,179278891,182640.0,316428.0,1.29,6.76
Manhattan,2019,46833,59143,6681344,21293,88,698115,175081762,170032.0,298904.0,1.26,6.71
Manhattan,2020,39608,50661,5384907,20883,103,667427,161012414,160062.0,284020.0,1.28,5.93
Manhattan,2021,42332,53355,6301573,23265,177,633953,147504394,167392.0,261639.0,1.26,6.68
Manhattan,2022,59331,71187,12608948,18539,110,641459,202800101,221267.0,329169.0,1.2,9.25
Manhattan,2023,65484,76796,9773191,16771,1477,663771,180197199,149245.0,271475.0,1.17,9.87
NYC,2012,127658,187079,8681352,91278,4622,3044109,243044408,90251.0,105960.0,1.47,4.19
NYC,2013,119493,179539,9695506,91009,3357,3062194,269610744,106127.0,115161.0,1.5,3.9
NYC,2014,110644,165656,8798791,86712,2162,3100350,270682027,102354.0,112372.0,1.5,3.57
NYC,2015,97841,144833,7777388,76378,2479,3190308,304191786,102190.0,122577.0,1.48,3.07
NYC,2016,109008,156563,10393590,89869,2431,3226903,307470701,121048.0,120968.0,1.44,3.38
NYC,2017,125959,179296,11170691,107693,393,3219207,296430099,110242.0,114464.0,1.42,3.91
NYC,2018,114510,163812,10615080,93318,472,3290675,336411685,112485.0,124052.0,1.43,3.48
NYC,2019,115999,163330,10572363,91143,405,3346276,343261280,108626.0,122259.0,1.41,3.47
NYC,2020,104985,150847,9094972,92038,537,3287536,331720302,101992.0,118794.0,1.44,3.19
NYC,2021,105990,146953,10485637,92210,626,3267481,315296016,111246.0,108507.0,1.39,3.24
NYC,2022,133521,174888,18771769,82974,351,3339842,395628031,146378.0,123333.0,1.31,4.0
NYC,2023,148466,193708,15807452,81826,2895,3363316,376887958,106472.0,112058.0,1.3,4.41
Queens,2012,25850,41276,971114,21874,756,851383,41300055,49857.0,64378.0,1.6,3.04
Queens,2013,25303,41060,1095893,22393,669,859521,42656055,56649.0,64912.0,1.62,2.94
Queens,2014,23298,38074,1022706,21846,366,873444,44485683,56499.0,65554.0,1.63,2.67
Queens,2015,19873,32062,883870,18825,332,897356,47927814,57177.0,68662.0,1.61,2.21
Queens,2016,21900,34452,1083944,22378,325,909386,50263671,62837.0,70171.0,1.57,2.41
Queens,2017,25755,40232,1347239,26523,88,910135,50596695,65025.0,69106.0,1.56,2.83
Queens,2018,23339,36726,1257154,23121,118,929526,53963786,65362.0,70446.0,1.57,2.51
Queens,2019,23867,36639,1324515,22626,93,945836,57353736,66142.0,72271.0,1.54,2.52
Queens,2020,22590,35491,1285357,22716,108,937236,58407605,66988.0,73369.0,1.57,2.41
Queens,2021,21120,31284,1231254,22341,84,942544,56309945,65555.0,67180.0,1.48,2.24
Queens,2022,24395,35122,1696832,22134,72,972654,64461827,72420.0,69002.0,1.44,2.51
Queens,2023,26727,38577,1792017,22256,415,974043,65718906,67049.0,67470.0,1.44,2.74
Staten Island,2012,3037,5243,160765,4030,84,171641,12090457,70252.0,93484.0,1.73,1.77
Staten Island,2013,2981,5146,138016,4186,47,172611,12457119,60557.0,94395.0,1.73,1.73
Staten Island,2014,2749,4883,129000,3984,50,173830,12661940,60398.0,93753.0,1.78,1.58
Staten Island,2015,2604,4572,134966,3665,391,176907,13324892,66631.0,96831.0,1.76,1.47
Staten Island,2016,2803,4968,147181,4897,407,178854,14084453,66662.0,99975.0,1.77,1.57
Staten Island,2017,2988,5086,165904,6660,-1,178749,14069348,69020.0,97842.0,1.7,1.67
Staten Island,2018,2761,4801,151165,5783,24,182437,14852529,66436.0,98788.0,1.74,1.51
Staten Island,2019,2802,4708,151458,5528,0,185400,15441529,64423.0,99265.0,1.68,1.51
Staten Island,2020,2730,4705,158357,5901,21,185583,15663611,68292.0,99368.0,1.72,1.47
Staten Island,2021,2653,4376,159111,6127,0,187270,15189297,67440.0,91206.0,1.65,1.42
Staten Island,2022,2844,4615,181033,6683,0,194363,16939463,66275.0,90741.0,1.62,1.46
Staten Island,2023,3071,4966,187450,5936,27,198274,17524896,61039.0,88387.0,1.62,1.55
