year,agi_band,agi_stub,age,inflow_returns,inflow_people,outflow_returns,nonmigrant_returns
2012,all,0,26-34,59871,90936,71882,1283860
2013,all,0,26-34,58965,89618,73817,1291295
2014,all,0,26-34,54985,82491,71606,1308206
2015,all,0,26-34,44871,65049,56260,1362970
2016,all,0,26-34,55468,80926,77782,1365154
2017,all,0,26-34,73781,109072,106414,1436695
2018,all,0,26-34,62203,89687,85030,1495470
2019,all,0,26-34,62011,86788,83434,1530729
2020,all,0,26-34,58172,83672,104135,1506604
2021,all,0,26-34,59272,82984,107024,1521809
2022,all,0,26-34,71177,93465,98761,1520800
2023,all,0,26-34,71242,95384,91855,1517588
2012,$1-10k,1,26-34,7641,10737,8645,124354
2013,$1-10k,1,26-34,7259,10094,8117,120402
2014,$1-10k,1,26-34,6395,8866,7734,119900
2015,$1-10k,1,26-34,5383,7419,6617,118813
2016,$1-10k,1,26-34,5439,7405,7300,109958
2017,$1-10k,1,26-34,6426,8779,8718,117243
2018,$1-10k,1,26-34,5442,7378,6828,109901
2019,$1-10k,1,26-34,4966,6531,5931,98981
2020,$1-10k,1,26-34,4903,6517,7006,96452
2021,$1-10k,1,26-34,4669,6134,6769,100641
2022,$1-10k,1,26-34,3675,4981,4853,71216
2023,$1-10k,1,26-34,4289,5635,5791,93000
2012,$10-25k,2,26-34,14636,23724,17683,323991
2013,$10-25k,2,26-34,14223,23133,17617,323654
2014,$10-25k,2,26-34,12681,20168,16700,319173
2015,$10-25k,2,26-34,10682,17030,14137,321702
2016,$10-25k,2,26-34,11413,17806,17094,314973
2017,$10-25k,2,26-34,14110,21886,21198,333502
2018,$10-25k,2,26-34,12298,19159,16950,328754
2019,$10-25k,2,26-34,11686,17963,16062,313046
2020,$10-25k,2,26-34,10461,16588,16224,281612
2021,$10-25k,2,26-34,9250,13396,15731,275313
2022,$10-25k,2,26-34,9316,12882,14339,258566
2023,$10-25k,2,26-34,9437,14945,13658,235632
2012,$25-50k,3,26-34,18449,26536,20070,396175
2013,$25-50k,3,26-34,17166,25111,20103,398144
2014,$25-50k,3,26-34,15890,22986,18984,404042
2015,$25-50k,3,26-34,12545,17524,15234,417909
2016,$25-50k,3,26-34,15148,21189,21161,419162
2017,$25-50k,3,26-34,20462,29418,27984,446196
2018,$25-50k,3,26-34,16755,23522,22294,461738
2019,$25-50k,3,26-34,16347,22327,21997,477538
2020,$25-50k,3,26-34,14956,21181,24107,473321
2021,$25-50k,3,26-34,14723,20748,26173,493422
2022,$25-50k,3,26-34,16052,21161,26402,480320
2023,$25-50k,3,26-34,15118,20228,21122,407264
2012,$50-75k,4,26-34,8738,12785,10723,202609
2013,$50-75k,4,26-34,9304,13440,11560,204341
2014,$50-75k,4,26-34,9146,12857,11421,209577
2015,$50-75k,4,26-34,7113,9367,8145,224476
2016,$50-75k,4,26-34,9694,13333,12476,230832
2017,$50-75k,4,26-34,13590,19031,18525,241785
2018,$50-75k,4,26-34,11586,15491,14935,262204
2019,$50-75k,4,26-34,11335,14742,14679,278572
2020,$50-75k,4,26-34,10836,14619,18643,285590
2021,$50-75k,4,26-34,10582,13942,18788,283331
2022,$50-75k,4,26-34,12638,15877,17807,291606
2023,$50-75k,4,26-34,12009,15035,15712,298466
2012,$75-100k,5,26-34,4406,6805,5470,100866
2013,$75-100k,5,26-34,4599,7018,5941,103594
2014,$75-100k,5,26-34,4522,6897,5990,107195
2015,$75-100k,5,26-34,3635,5064,4274,114797
2016,$75-100k,5,26-34,5387,7686,6773,116085
2017,$75-100k,5,26-34,7469,10848,10528,119806
2018,$75-100k,5,26-34,6257,8769,8606,131966
2019,$75-100k,5,26-34,6480,8586,8661,142201
2020,$75-100k,5,26-34,6094,8359,12183,144286
2021,$75-100k,5,26-34,6712,9197,12432,143446
2022,$75-100k,5,26-34,8663,10913,11570,156530
2023,$75-100k,5,26-34,8713,10981,10944,170345
2012,$100-200k,6,26-34,4665,7872,6532,104012
2013,$100-200k,6,26-34,4961,8187,7512,108504
2014,$100-200k,6,26-34,4853,7962,7685,113740
2015,$100-200k,6,26-34,4232,6415,5562,125930
2016,$100-200k,6,26-34,6350,9856,9121,132847
2017,$100-200k,6,26-34,9076,14337,13861,135471
2018,$100-200k,6,26-34,7548,11373,11023,151517
2019,$100-200k,6,26-34,8346,11890,11338,165532
2020,$100-200k,6,26-34,8120,11735,17553,170971
2021,$100-200k,6,26-34,9393,13285,18126,170418
