geo,sex,age_group,year,vintage,pop
Bronx,all,15-19,2010,v2020,115581
Bronx,all,15-19,2011,v2020,114572
Bronx,all,15-19,2012,v2020,110325
Bronx,all,15-19,2013,v2020,106643
Bronx,all,15-19,2014,v2020,103357
Bronx,all,15-19,2015,v2020,100366
Bronx,all,15-19,2016,v2020,98694
Bronx,all,15-19,2017,v2020,97955
Bronx,all,15-19,2018,v2020,96793
Bronx,all,15-19,2019,v2020,95458
Bronx,all,15-19,2020,v2020,93923
Bronx,all,15-19,2020,v2025,104222
Bronx,all,15-19,2021,v2025,98113
Bronx,all,15-19,2022,v2025,94356
Bronx,all,15-19,2023,v2025,94336
Bronx,all,15-19,2024,v2025,97273
Bronx,all,15-19,2025,v2025,96318
Bronx,all,20-24,2010,v2020,112834
Bronx,all,20-24,2011,v2020,113927
Bronx,all,20-24,2012,v2020,117981
Bronx,all,20-24,2013,v2020,122303
Bronx,all,20-24,2014,v2020,123331
Bronx,all,20-24,2015,v2020,122549
Bronx,all,20-24,2016,v2020,118815
Bronx,all,20-24,2017,v2020,113409
Bronx,all,20-24,2018,v2020,108173
Bronx,all,20-24,2019,v2020,103768
Bronx,all,20-24,2020,v2020,99719
Bronx,all,20-24,2020,v2025,105284
Bronx,all,20-24,2021,v2025,104003
Bronx,all,20-24,2022,v2025,101169
Bronx,all,20-24,2023,v2025,101451
Bronx,all,20-24,2024,v2025,103531
Bronx,all,20-24,2025,v2025,101390
Bronx,all,25-29,2010,v2020,105658
Bronx,all,25-29,2011,v2020,105739
Bronx,all,25-29,2012,v2020,106699
Bronx,all,25-29,2013,v2020,108311
Bronx,all,25-29,2014,v2020,111437
Bronx,all,25-29,2015,v2020,115662
Bronx,all,25-29,2016,v2020,120079
Bronx,all,25-29,2017,v2020,123613
Bronx,all,25-29,2018,v2020,124238
Bronx,all,25-29,2019,v2020,123016
Bronx,all,25-29,2020,v2020,119437
Bronx,all,25-29,2020,v2025,110818
Bronx,all,25-29,2021,v2025,104007
Bronx,all,25-29,2022,v2025,98685
