year,geo,band,inmovers,moe
2011,NYC,<$25k,59227.0,6498.815758072101
2011,NYC,$25-50k,17954.0,3517.945036661495
2011,NYC,$50-100k,23498.0,3972.404587535899
2011,NYC,$100k+,11222.0,3312.594340397342
2011,Manhattan,<$25k,27577.0,4991.064786248522
2011,Manhattan,$25-50k,9097.0,2892.2063281057594
2011,Manhattan,$50-100k,14387.0,3638.6290983890826
2011,Manhattan,$100k+,10036.0,3363.8504203477523
2012,NYC,<$25k,60644.0,7163.286503253412
2012,NYC,$25-50k,16922.0,2864.448187846134
2012,NYC,$50-100k,20007.0,3677.634602678398
2012,NYC,$100k+,9700.0,2634.032666424479
2012,Manhattan,<$25k,27781.0,5264.930139619851
2012,Manhattan,$25-50k,7574.0,2062.57933215822
2012,Manhattan,$50-100k,11680.0,3119.2228700519304
2012,Manhattan,$100k+,7654.0,2568.9422313855657
2013,NYC,<$25k,56593.0,6295.65474977891
2013,NYC,$25-50k,16736.0,3188.1473137997796
2013,NYC,$50-100k,20988.0,3627.4777094508104
2013,NYC,$100k+,7470.0,2060.891294716924
2013,Manhattan,<$25k,20070.0,3756.564929241041
2013,Manhattan,$25-50k,6546.0,2648.2067638304793
2013,Manhattan,$50-100k,11352.0,3099.3321413027843
2013,Manhattan,$100k+,5007.0,1930.380830770188
2014,NYC,<$25k,58058.0,5569.506225265509
2014,NYC,$25-50k,18617.0,3090.385654123325
2014,NYC,$50-100k,21837.0,2969.2241797782804
2014,NYC,$100k+,8362.0,2260.1672939809678
2014,Manhattan,<$25k,27179.0,4598.741740494078
2014,Manhattan,$25-50k,7563.0,1792.6365517593772
2014,Manhattan,$50-100k,11308.0,2309.2762291327344
2014,Manhattan,$100k+,6141.0,1987.2107928111202
2015,NYC,<$25k,49071.0,5176.995805708172
2015,NYC,$25-50k,19062.0,3580.073708322917
2015,NYC,$50-100k,19019.0,3188.875226435451
2015,NYC,$100k+,11676.0,3203.868509642874
2015,Manhattan,<$25k,25162.0,4301.186032917259
2015,Manhattan,$25-50k,9068.0,2692.888966448023
2015,Manhattan,$50-100k,10580.0,2441.690988383102
2015,Manhattan,$100k+,8429.0,2901.6596066294546
2016,NYC,<$25k,53076.0,5750.682985247492
2016,NYC,$25-50k,19826.0,3521.863421346184
2016,NYC,$50-100k,22976.0,4413.556627742388
2016,NYC,$100k+,12425.0,3352.719028750955
2016,Manhattan,<$25k,22349.0,3878.172941370556
2016,Manhattan,$25-50k,7068.0,2065.8385561694436
2016,Manhattan,$50-100k,13871.0,4051.233381028548
2016,Manhattan,$100k+,7856.0,2963.192361776611
2017,NYC,<$25k,41352.0,4087.5708942148635
2017,NYC,$25-50k,18683.0,3198.589052629495
2017,NYC,$50-100k,25168.0,4063.1172996659843
2017,NYC,$100k+,10275.0,2460.8490473561665
2017,Manhattan,<$25k,19203.0,2927.549520165287
2017,Manhattan,$25-50k,9408.0,2506.8658242537135
2017,Manhattan,$50-100k,14345.0,3281.215920360355
2017,Manhattan,$100k+,7136.0,2317.064631753396
2018,NYC,<$25k,45050.0,4456.921285873664
2018,NYC,$25-50k,15424.0,2375.0579557489223
2018,NYC,$50-100k,22347.0,3447.114907674968
2018,NYC,$100k+,9202.0,2326.385962861709
2018,Manhattan,<$25k,19422.0,3058.4510707065842
2018,Manhattan,$25-50k,7528.0,1758.9773547078428
2018,Manhattan,$50-100k,10490.0,2849.3339837254075
2018,Manhattan,$100k+,5626.0,1745.4172482690205
2019,NYC,<$25k,46297.0,5671.93829244686
2019,NYC,$25-50k,17157.0,3033.6966281333243
2019,NYC,$50-100k,20440.0,3384.3872158237527
2019,NYC,$100k+,13637.0,2916.411216762822
