period,cd,borough,neighborhood,inmovers_per_year,moe,sample,low_income_share,low_income_share_moe
2011-13,Bronx CD 1-2,Bronx,"Melrose, Mott Haven, Longwood, & Hunts Point",691.6666666666666,362.49509626472496,20,0.9768674698795181,0.04090304233092332
2011-13,Bronx CD 10,Bronx,Co-op City & Throgs Neck,1086.0,690.4085882013796,20,0.9269490484960098,0.09593282299326722
2011-13,Bronx CD 11,Bronx,Pelham Parkway & Morris Park,676.0,293.4553774066662,24,0.7371794871794872,0.18225857568223558
2011-13,Bronx CD 12,Bronx,"Wakefield, Williamsbridge, & Eastchester",684.6666666666666,268.47247797751805,29,0.810126582278481,0.1005708952517388
2011-13,Bronx CD 3-6,Bronx,"Morrisania, Tremont, Belmont, & West Farms",1361.6666666666667,463.2411874779403,42,1.0,0.0
2011-13,Bronx CD 4,Bronx,Highbridge & Concourse,586.3333333333334,335.2031676432303,11,0.9596361569073337,0.07610064045059636
2011-13,Bronx CD 5,Bronx,Morris Heights & Mount Hope,858.3333333333334,441.64425796580525,18,0.9541747572815534,0.06089440081073214
2011-13,Bronx CD 7,Bronx,"Fordham, Bedford Park, & Norwood",999.6666666666666,441.21523348761184,18,0.8309436478826275,0.15247837376082668
2011-13,Bronx CD 8,Bronx,"Riverdale, Kingsbridge, & Marble Hill",937.0,382.10713675980696,30,0.7797936677339026,0.19298549853690977
2011-13,Bronx CD 9,Bronx,Soundview & Parkchester,341.0,194.11375620188684,10,1.0,0.0
2011-13,Brooklyn CD 1,Brooklyn,Williamsburg & Greenpoint,2831.3333333333335,791.4457260987642,77,0.7261596421003061,0.10759363260260706
2011-13,Brooklyn CD 10,Brooklyn,Bay Ridge & Dyker Heights,1175.3333333333333,456.2497281656724,38,0.7986386840612593,0.10262187561652585
2011-13,Brooklyn CD 11,Brooklyn,Bensonhurst & Bath Beach,930.3333333333334,450.07290520336204,25,0.9007524184879971,0.08604109909000776
2011-13,Brooklyn CD 12,Brooklyn,Borough Park & Kensington,647.0,314.59816825131605,21,0.8979907264296755,0.09592269704652542
2011-13,Brooklyn CD 13,Brooklyn,Coney Island & Brighton Beach,291.0,220.31846369706133,7,1.0,0.0
2011-13,Brooklyn CD 14,Brooklyn,Flatbush & Midwood,998.6666666666666,383.99026167031747,27,0.7166221628838452,0.20937218630951324
2011-13,Brooklyn CD 15,Brooklyn,Sheepshead Bay & Gravesend (East),407.6666666666667,202.1555232677032,12,0.8438266557645135,0.13681282342341886
2011-13,Brooklyn CD 16,Brooklyn,Ocean Hill & Brownsville,317.0,202.69102913191685,8,0.9579390115667719,0.07688348931512422
2011-13,Brooklyn CD 17,Brooklyn,East Flatbush,383.6666666666667,223.35956350971412,12,1.0,0.0
2011-13,Brooklyn CD 18,Brooklyn,Canarsie & Flatlands,647.3333333333334,301.4922962596041,23,0.8928939237899073,0.09139721693776595
2011-13,Brooklyn CD 2,Brooklyn,Downtown Brooklyn & Fort Greene,3458.0,820.6842919800389,119,0.7273954116059379,0.08616421628182042
2011-13,Brooklyn CD 3,Brooklyn,Bedford-Stuyvesant,1721.3333333333333,550.9278715286451,51,0.7716886134779241,0.11334270900847583
2011-13,Brooklyn CD 4,Brooklyn,Bushwick,2442.3333333333335,590.8130599506027,66,0.844138119284837,0.09913166788855383
2011-13,Brooklyn CD 5,Brooklyn,East New York & Cypress Hills,607.3333333333334,384.49163049047274,13,0.6350164654226125,0.38223986107539526
2011-13,Brooklyn CD 6,Brooklyn,Park Slope & Carroll Gardens,2884.6666666666665,763.5843883905368,69,0.6306910099376011,0.11039149401327039
2011-13,Brooklyn CD 7,Brooklyn,Sunset Park & Windsor Terrace,2265.3333333333335,716.9067569656848,59,0.8231312536786345,0.1214074181027717
2011-13,Brooklyn CD 8,Brooklyn,Crown Heights (North),1203.3333333333333,444.19868730060807,38,0.72797783933518,0.12014820158955523
2011-13,Brooklyn CD 9,Brooklyn,Crown Heights (South),690.0,319.87750063566006,21,0.8502415458937198,0.1254756978060217
2011-13,Manhattan CD 1-2,Manhattan,Financial District & Greenwich Village,7876.333333333333,1424.499182403874,173,0.5114054763214694,0.09010029984936925
2011-13,Manhattan CD 10,Manhattan,Harlem,1470.6666666666667,533.2166982552163,45,0.6591115140525838,0.15179990314663178
2011-13,Manhattan CD 11,Manhattan,East Harlem,1782.0,728.1560390459093,45,0.6823793490460157,0.22115332642902774
2011-13,Manhattan CD 12,Manhattan,Washington Heights & Inwood,3929.3333333333335,1093.286355681804,76,0.6841703427214116,0.13258461200855137
2011-13,Manhattan CD 3,Manhattan,Lower East Side & Chinatown,4996.666666666667,1473.0560197801562,91,0.6540360240160107,0.13831964713017303
2011-13,Manhattan CD 4-5-6,Manhattan,"Chelsea, Hell's Kitchen & Midtown",14472.0,1887.749150425948,270,0.5883084577114428,0.06289181991809298
2011-13,Manhattan CD 7,Manhattan,Upper West Side,5244.0,1338.7925474691322,70,0.5825069921179761,0.11916892556679448
2011-13,Manhattan CD 8,Manhattan,Upper East Side & Roosevelt Island,6718.333333333333,1572.9945112376427,97,0.5336144877201687,0.09118773199750002
2011-13,Manhattan CD 9,Manhattan,Morningside Heights & Hamilton Heights,6431.0,1432.51512435864,197,0.8643031151194733,0.05692008579706229
2011-13,Queens CD 1,Queens,Astoria & Queensbridge,4240.666666666667,755.2047116161433,144,0.7347901273384688,0.06942268956416045
2011-13,Queens CD 10,Queens,South Ozone Park & Howard Beach,490.0,306.3807777214854,15,0.926530612244898,0.11819814294641993
2011-13,Queens CD 11,Queens,"Auburndale, Bayside, & Douglaston",736.6666666666666,265.6428266836359,30,0.7479638009049774,0.12982316908582392
2011-13,Queens CD 12,Queens,"Jamaica, St. Albans, & Hollis",1234.6666666666667,459.3496368850081,44,0.8968682505399568,0.09707650044342112
2011-13,Queens CD 13,Queens,"Queens Village, Bellerose, & Rosedale",1060.0,372.2748032972417,33,0.8446540880503145,0.1254913212510305
2011-13,Queens CD 14,Queens,The Rockaways,724.0,369.29708583014695,19,0.68646408839779,0.20917124850604105
2011-13,Queens CD 2,Queens,"Long Island City, Sunnyside, & Woodside",2217.3333333333335,768.3446947384864,52,0.5696031268791341,0.17432006226496566
2011-13,Queens CD 3,Queens,Jackson Heights & East Elmhurst,1441.0,590.0401084466162,31,0.8251214434420542,0.1569648362051731
2011-13,Queens CD 4,Queens,Elmhurst & Corona,935.0,411.2476238820245,18,1.0,0.0
2011-13,Queens CD 5,Queens,"Ridgewood, Maspeth, & Middle Village",749.3333333333334,372.31219582570156,24,0.9684163701067615,0.05722081575078116
2011-13,Queens CD 6,Queens,Forest Hills & Rego Park,1389.0,571.9548272304573,31,0.5713942884569234,0.201835045721078
2011-13,Queens CD 7,Queens,"Flushing, Murray Hill, & Whitestone",1695.3333333333333,645.9759169243463,41,0.8415257569799449,0.12218556843641959
2011-13,Queens CD 8,Queens,"Fresh Meadows, Hillcrest, & Briarwood",2259.6666666666665,723.1028863271963,71,0.8530756748783006,0.08937902371583749
2011-13,Queens CD 9,Queens,"Kew Gardens, Richmond Hill, & Woodhaven",1058.6666666666667,350.51766039772446,39,0.8290302267002518,0.10345957129606531
2011-13,Staten Island CD 1,Staten Island,North Shore,892.3333333333334,397.9370641721432,24,0.942099364960777,0.08129964751040056
2011-13,Staten Island CD 2,Staten Island,Mid-Island,313.6666666666667,233.06924297626185,9,0.8756641870350691,0.19604846586178581
2011-13,Staten Island CD 3,Staten Island,South Shore,505.3333333333333,274.4196606051882,14,0.83311345646438,0.18985354019817505
2017-19,Bronx CD 1-2,Bronx,"Melrose, Mott Haven, Longwood, & Hunts Point",582.6666666666666,255.57489617445478,22,0.9176201372997712,0.12855690739664039
2017-19,Bronx CD 10,Bronx,Co-op City & Throgs Neck,347.6666666666667,344.10806764413104,6,1.0,0.0
2017-19,Bronx CD 11,Bronx,Pelham Parkway & Morris Park,881.0,403.81708552590845,23,0.5724555429436247,0.22656548036997293
2017-19,Bronx CD 12,Bronx,"Wakefield, Williamsbridge, & Eastchester",708.6666666666666,285.54244448310817,24,0.6966133584195673,0.1926103307659949
2017-19,Bronx CD 3-6,Bronx,"Morrisania, Tremont, Belmont, & West Farms",1161.0,602.3410967908419,30,0.6732701693942004,0.3059122974058015
2017-19,Bronx CD 4,Bronx,Highbridge & Concourse,488.0,280.2043960531312,11,0.8866120218579235,0.1867958251344305
2017-19,Bronx CD 5,Bronx,Morris Heights & Mount Hope,778.3333333333334,396.4856868241134,17,1.0,0.0
2017-19,Bronx CD 7,Bronx,"Fordham, Bedford Park, & Norwood",442.6666666666667,398.60752139061134,11,0.8064759036144579,0.1538927729853688
2017-19,Bronx CD 8,Bronx,"Riverdale, Kingsbridge, & Marble Hill",866.6666666666666,335.28570176687464,26,0.79,0.15190526974037813
2017-19,Bronx CD 9,Bronx,Soundview & Parkchester,873.3333333333334,404.0974671067407,21,0.8461832061068703,0.11903502698952251
2017-19,Brooklyn CD 1,Brooklyn,Williamsburg & Greenpoint,3889.6666666666665,865.5062584085944,101,0.41631673665266944,0.09201139316543015
2017-19,Brooklyn CD 10,Brooklyn,Bay Ridge & Dyker Heights,833.0,305.55559503754796,34,0.9103641456582633,0.0831443210895477
2017-19,Brooklyn CD 11,Brooklyn,Bensonhurst & Bath Beach,1083.3333333333333,515.9744701056762,30,0.856,0.1140753246152292
2017-19,Brooklyn CD 12,Brooklyn,Borough Park & Kensington,655.6666666666666,242.0868379465196,29,0.8073207930859176,0.14071578388831207
2017-19,Brooklyn CD 13,Brooklyn,Coney Island & Brighton Beach,338.3333333333333,210.13522007434747,12,0.8206896551724138,0.21715907461700296
2017-19,Brooklyn CD 14,Brooklyn,Flatbush & Midwood,954.0,371.12247554659535,31,0.8127183787561146,0.1539417386060275
2017-19,Brooklyn CD 15,Brooklyn,Sheepshead Bay & Gravesend (East),989.0,459.15948212588523,27,0.6693629929221436,0.23794009015167902
