geo,year,inflow_returns,inflow_people,inflow_agi_k,from_other_boroughs_returns,foreign_returns,nonmigrant_returns,nonmigrant_agi_k,mean_agi_in_2023usd,nonmigrant_mean_agi_2023usd,people_per_return,inflow_per_100_resident_returns
Manhattan,2012,49230,64717,5671210,22169,1637,665849,126083996,152884.0,251304.0,1.31,7.39
Manhattan,2013,46899,62466,6616917,21509,1377,659799,147762755,184540.0,292923.0,1.33,7.11
Manhattan,2014,44059,58659,5954757,20331,1071,660541,143669094,173956.0,279946.0,1.33,6.67
Manhattan,2015,38862,50576,5276905,17940,1174,681659,166696579,174562.0,314380.0,1.3,5.7
Manhattan,2016,44625,57417,7266519,20256,1089,680518,163058732,206728.0,304198.0,1.29,6.56
Manhattan,2017,52004,66945,7279240,24171,87,673235,150253935,173999.0,277431.0,1.29,7.72
Manhattan,2018,46449,59737,6991280,21959,78,687496,179278891,182640.0,316428.0,1.29,6.76
Manhattan,2019,46833,59143,6681344,21293,88,698115,175081762,170032.0,298904.0,1.26,6.71
Manhattan,2020,39608,50661,5384907,20883,103,667427,161012414,160062.0,284020.0,1.28,5.93
Manhattan,2021,42332,53355,6301573,23265,177,633953,147504394,167392.0,261639.0,1.26,6.68
Manhattan,2022,59331,71187,12608948,18539,110,641459,202800101,221267.0,329169.0,1.2,9.25
Manhattan,2023,65484,76796,9773191,16771,1477,663771,180197199,149245.0,271475.0,1.17,9.87
NYC,2012,127658,187079,8681352,91278,4622,3044109,243044408,90251.0,105960.0,1.47,4.19
NYC,2013,119493,179539,9695506,91009,3357,3062194,269610744,106127.0,115161.0,1.5,3.9
NYC,2014,110644,165656,8798791,86712,2162,3100350,270682027,102354.0,112372.0,1.5,3.57
NYC,2015,97841,144833,7777388,76378,2479,3190308,304191786,102190.0,122577.0,1.48,3.07
NYC,2016,109008,156563,10393590,89869,2431,3226903,307470701,121048.0,120968.0,1.44,3.38
NYC,2017,125959,179296,11170691,107693,393,3219207,296430099,110242.0,114464.0,1.42,3.91
NYC,2018,114510,163812,10615080,93318,472,3290675,336411685,112485.0,124052.0,1.43,3.48
NYC,2019,115999,163330,10572363,91143,405,3346276,343261280,108626.0,122259.0,1.41,3.47
NYC,2020,104985,150847,9094972,92038,537,3287536,331720302,101992.0,118794.0,1.44,3.19
NYC,2021,105990,146953,10485637,92210,626,3267481,315296016,111246.0,108507.0,1.39,3.24
NYC,2022,133521,174888,18771769,82974,351,3339842,395628031,146378.0,123333.0,1.31,4.0
NYC,2023,148466,193708,15807452,81826,2895,3363316,376887958,106472.0,112058.0,1.3,4.41
