year,all,$1-10k,$10-25k,$25-50k,$50-75k,$75-100k,$100-200k,$200k+,share_under_50k
2012,40517,8558,14889,12490,2993,869,591,127,0.887
2013,38687,7885,14561,11086,3296,1012,690,157,0.867
2014,35959,7005,12964,10287,3557,1201,773,172,0.841
2015,34253,6581,12238,9564,3530,1234,874,232,0.829
2016,38240,6432,12680,11174,4583,1710,1353,308,0.792
2017,37742,5357,11947,12099,5032,1881,1239,187,0.779
2018,34900,4649,10682,11211,4963,1865,1324,206,0.761
2019,35020,4205,10257,11013,5358,2218,1689,280,0.727
2020,32393,4199,8832,10284,4981,2066,1723,308,0.72
2021,29964,4211,7879,8676,4616,2210,1950,422,0.693
2022,42871,4113,9954,11965,7398,4065,4114,1262,0.607
2023,59479,6429,14030,17354,10282,5012,5235,1137,0.636
