year,ny_inmovers,ny_nonmovers,other_states_inmovers,other_states_nonmovers,ny_gap,other_states_gap
2012,0.887,0.9188,0.9255,0.9345,-0.0318,-0.0091
2013,0.8668,0.9116,0.9157,0.9273,-0.0448,-0.0116
2014,0.8414,0.9043,0.9069,0.9192,-0.0629,-0.0123
2015,0.8286,0.8904,0.905,0.9063,-0.0618,-0.0013
2016,0.792,0.8767,0.8769,0.8955,-0.0847,-0.0186
2017,0.7791,0.8722,0.8817,0.9126,-0.0932,-0.0309
2018,0.7605,0.8538,0.8737,0.8982,-0.0933,-0.0246
2019,0.7274,0.8348,0.8538,0.8822,-0.1074,-0.0285
2020,0.7198,0.8203,0.8341,0.8685,-0.1006,-0.0345
2021,0.693,0.8289,0.8247,0.8682,-0.1359,-0.0434
2022,0.6072,0.8242,0.8075,0.8619,-0.217,-0.0545
2023,0.6357,0.798,0.8007,0.8407,-0.1622,-0.04
