year,geo,inmovers,inmovers_moe,low_income_inmovers,low_income_inmovers_moe,low_income_share,nonmover_low_income_share,sample_inmovers
2011,NYC,111901.0,9804.233,77181.0,8126.357,0.69,0.794,905
2011,Manhattan,61097.0,6986.309,36674.0,5907.594,0.6,0.604,404
2012,NYC,107273.0,9306.468,77566.0,8165.416,0.723,0.793,843
2012,Manhattan,54689.0,7077.694,35355.0,5983.575,0.646,0.599,354
2013,NYC,101787.0,7866.162,73329.0,6746.93,0.72,0.789,863
2013,Manhattan,42975.0,5118.942,26616.0,4241.072,0.619,0.607,306
2014,NYC,106874.0,7956.01,76675.0,6706.451,0.717,0.783,934
2014,Manhattan,52191.0,6084.415,34742.0,5170.473,0.666,0.592,409
2015,NYC,98828.0,7868.764,68133.0,6490.509,0.689,0.775,819
2015,Manhattan,53239.0,6487.962,34230.0,5193.456,0.643,0.606,341
2016,NYC,108303.0,8632.19,72902.0,7001.267,0.673,0.761,920
2016,Manhattan,51144.0,6993.207,29417.0,4174.593,0.575,0.612,378
2017,NYC,95478.0,6824.598,60035.0,5314.538,0.629,0.745,813
2017,Manhattan,50092.0,5631.199,28611.0,3905.039,0.571,0.606,367
2018,NYC,92023.0,6406.581,60474.0,5284.177,0.657,0.739,862
2018,Manhattan,43066.0,4635.255,26950.0,3585.626,0.626,0.524,362
2019,NYC,97531.0,7977.126,63454.0,6994.154,0.651,0.725,926
2019,Manhattan,46813.0,5492.003,27020.0,4771.569,0.577,0.552,396
2021,NYC,102770.0,6369.18,66650.0,5833.106,0.649,0.76,993
2021,Manhattan,58852.0,5866.436,37899.0,5153.305,0.644,0.597,558
2022,NYC,125812.0,9340.875,78778.0,7432.47,0.626,0.726,1117
2022,Manhattan,61547.0,6298.265,35789.0,4866.433,0.581,0.567,534
2023,NYC,116793.0,9729.768,73937.0,7445.101,0.633,0.7,1043
2023,Manhattan,50003.0,6413.271,26705.0,3744.768,0.534,0.499,439
2024,NYC,109021.0,8012.4,62318.0,5947.39,0.572,0.684,983
2024,Manhattan,52009.0,5144.016,25923.0,3637.5,0.498,0.468,445
