year,geo,sex,inmovers,inmovers_moe,sample_inmovers
2011,NYC,women,63654.0,6356.0,487
2011,NYC,men,48247.0,6081.0,418
2011,Manhattan,women,38744.0,5323.0,242
2011,Manhattan,men,22353.0,4083.0,162
2012,NYC,women,58233.0,5408.0,459
2012,NYC,men,49040.0,6070.0,384
2012,Manhattan,women,31169.0,4684.0,213
2012,Manhattan,men,23520.0,4171.0,141
2013,NYC,women,52077.0,5193.0,447
2013,NYC,men,49710.0,5754.0,416
2013,Manhattan,women,23190.0,3737.0,161
2013,Manhattan,men,19785.0,3311.0,145
2014,NYC,women,58210.0,4899.0,522
2014,NYC,men,48664.0,4849.0,412
2014,Manhattan,women,29101.0,4116.0,238
2014,Manhattan,men,23090.0,3804.0,171
2015,NYC,women,51887.0,4874.0,433
2015,NYC,men,46941.0,6137.0,386
2015,Manhattan,women,26624.0,4136.0,176
2015,Manhattan,men,26615.0,5130.0,165
2016,NYC,women,61714.0,6137.0,514
2016,NYC,men,46589.0,5279.0,406
2016,Manhattan,women,30976.0,5234.0,226
2016,Manhattan,men,20168.0,3911.0,152
2017,NYC,women,49086.0,5097.0,420
2017,NYC,men,46392.0,4574.0,393
2017,Manhattan,women,27426.0,4176.0,200
2017,Manhattan,men,22666.0,3570.0,167
2018,NYC,women,49772.0,4070.0,480
2018,NYC,men,42251.0,4599.0,382
2018,Manhattan,women,22857.0,3090.0,201
2018,Manhattan,men,20209.0,3623.0,161
2019,NYC,women,53185.0,5789.0,514
2019,NYC,men,44346.0,4028.0,412
2019,Manhattan,women,27017.0,3999.0,238
2019,Manhattan,men,19796.0,2809.0,158
2021,NYC,women,61401.0,4598.0,588
2021,NYC,men,41369.0,4118.0,405
2021,Manhattan,women,36291.0,4364.0,340
2021,Manhattan,men,22561.0,3123.0,218
2022,NYC,women,64790.0,5584.0,628
2022,NYC,men,61022.0,6368.0,489
2022,Manhattan,women,33256.0,4603.0,313
2022,Manhattan,men,28291.0,3494.0,221
2023,NYC,women,62024.0,5836.0,568
2023,NYC,men,54769.0,6187.0,475
2023,Manhattan,women,27662.0,4295.0,256
2023,Manhattan,men,22341.0,4016.0,183
2024,NYC,women,63278.0,5364.0,561
2024,NYC,men,45743.0,5064.0,422
2024,Manhattan,women,31789.0,3954.0,269
2024,Manhattan,men,20220.0,3182.0,176
