borough,cd,neighborhood,inmovers_per_year_2011-13,inmovers_per_year_2017-19,inmovers_per_year_2022-24,moe_2011-13,moe_2017-19,moe_2022-24,low_income_share_2011-13,low_income_share_2017-19,low_income_share_2022-24,sample_2011-13,sample_2017-19,sample_2022-24,change_2011_13_to_2022_24
Manhattan,Manhattan CD 4-5-6,"Chelsea, Hell's Kitchen & Midtown",14472.0,13323.0,16892.667,1887.749,1773.058,2303.143,0.588,0.523,0.44,270.0,299.0,395.0,0.167
Manhattan,Manhattan CD 1-2,Financial District & Greenwich Village,7876.333,7004.667,7090.667,1424.499,1294.883,1197.985,0.511,0.525,0.473,173.0,195.0,194.0,-0.1
Manhattan,Manhattan CD 7,Upper West Side,5244.0,3054.667,6469.333,1338.793,791.016,1324.378,0.583,0.478,0.517,70.0,60.0,118.0,0.234
Manhattan,Manhattan CD 3,Lower East Side & Chinatown,4996.667,4549.333,6011.0,1473.056,1171.066,1027.175,0.654,0.599,0.595,91.0,118.0,179.0,0.203
Manhattan,Manhattan CD 8,Upper East Side & Roosevelt Island,6718.333,4875.667,5752.667,1572.995,1281.104,1095.774,0.534,0.509,0.491,97.0,89.0,151.0,-0.144
Manhattan,Manhattan CD 9,Morningside Heights & Hamilton Heights,6431.0,6173.667,4709.0,1432.515,1181.848,854.937,0.864,0.737,0.787,197.0,163.0,177.0,-0.268
Brooklyn,Brooklyn CD 2,Downtown Brooklyn & Fort Greene,3458.0,3876.667,4652.333,820.684,718.439,863.253,0.727,0.625,0.597,119.0,126.0,131.0,0.345
Brooklyn,Brooklyn CD 1,Williamsburg & Greenpoint,2831.333,3889.667,4069.667,791.446,865.506,950.892,0.726,0.416,0.355,77.0,101.0,99.0,0.437
Brooklyn,Brooklyn CD 4,Bushwick,2442.333,2620.333,3768.0,590.813,607.353,835.102,0.844,0.64,0.542,66.0,93.0,90.0,0.543
Queens,Queens CD 1,Astoria & Queensbridge,4240.667,3048.667,3676.0,755.205,585.083,657.957,0.735,0.466,0.592,144.0,123.0,118.0,-0.133
Brooklyn,Brooklyn CD 3,Bedford-Stuyvesant,1721.333,1833.667,3347.0,550.928,542.464,850.341,0.772,0.783,0.567,51.0,60.0,82.0,0.944
Manhattan,Manhattan CD 12,Washington Heights & Inwood,3929.333,3400.333,2956.333,1093.286,834.716,767.824,0.684,0.847,0.673,76.0,87.0,83.0,-0.248
Queens,Queens CD 2,"Long Island City, Sunnyside, & Woodside",2217.333,1949.667,2948.667,768.345,511.702,704.722,0.57,0.594,0.393,52.0,52.0,76.0,0.33
Manhattan,Manhattan CD 10,Harlem,1470.667,1763.333,2723.333,533.217,665.089,878.287,0.659,0.704,0.682,45.0,44.0,58.0,0.852
Bronx,Bronx CD 3-6,"Morrisania, Tremont, Belmont, & West Farms",1361.667,1161.0,2450.0,463.241,602.341,944.538,1.0,0.673,0.914,42.0,30.0,55.0,0.799
Brooklyn,Brooklyn CD 6,Park Slope & Carroll Gardens,2884.667,1497.667,2425.667,763.584,496.503,854.992,0.631,0.441,0.52,69.0,43.0,71.0,-0.159
Brooklyn,Brooklyn CD 8,Crown Heights (North),1203.333,2043.333,2298.667,444.199,560.277,671.26,0.728,0.591,0.525,38.0,69.0,62.0,0.91
Queens,Queens CD 5,"Ridgewood, Maspeth, & Middle Village",749.333,1170.333,2054.333,372.312,402.192,635.266,0.968,0.702,0.795,24.0,46.0,56.0,1.742
Brooklyn,Brooklyn CD 16,Ocean Hill & Brownsville,317.0,306.333,2019.333,202.691,220.799,1121.613,0.958,0.852,0.916,8.0,10.0,26.0,5.37
Manhattan,Manhattan CD 11,East Harlem,1782.0,2512.333,1914.667,728.156,694.469,524.403,0.682,0.616,0.723,45.0,70.0,63.0,0.074
Queens,Queens CD 12,"Jamaica, St. Albans, & Hollis",1234.667,858.667,1779.667,459.35,322.024,618.925,0.897,0.929,0.858,44.0,29.0,56.0,0.441
Brooklyn,Brooklyn CD 14,Flatbush & Midwood,998.667,954.0,1553.333,383.99,371.122,519.666,0.717,0.813,0.797,27.0,31.0,44.0,0.555
Brooklyn,Brooklyn CD 9,Crown Heights (South),690.0,1120.667,1476.667,319.878,445.958,544.824,0.85,0.68,0.746,21.0,38.0,37.0,1.14
Brooklyn,Brooklyn CD 10,Bay Ridge & Dyker Heights,1175.333,833.0,1412.333,456.25,305.556,577.043,0.799,0.91,0.604,38.0,34.0,49.0,0.202
Queens,Queens CD 4,Elmhurst & Corona,935.0,1065.0,1346.667,411.248,598.481,471.74,1.0,0.971,0.86,18.0,17.0,49.0,0.44
Queens,Queens CD 13,"Queens Village, Bellerose, & Rosedale",1060.0,990.0,1306.0,372.275,404.254,477.23,0.845,0.749,0.862,33.0,26.0,41.0,0.232
Queens,Queens CD 9,"Kew Gardens, Richmond Hill, & Woodhaven",1058.667,1012.0,1198.333,350.518,314.487,428.668,0.829,0.731,0.678,39.0,33.0,38.0,0.132
Brooklyn,Brooklyn CD 12,Borough Park & Kensington,647.0,655.667,1186.0,314.598,242.087,442.023,0.898,0.807,0.714,21.0,29.0,36.0,0.833
Brooklyn,Brooklyn CD 11,Bensonhurst & Bath Beach,930.333,1083.333,1174.667,450.073,515.974,451.773,0.901,0.856,0.842,25.0,30.0,30.0,0.263
Bronx,Bronx CD 9,Soundview & Parkchester,341.0,873.333,1133.667,194.114,404.097,511.522,1.0,0.846,0.721,10.0,21.0,22.0,2.325
Queens,Queens CD 8,"Fresh Meadows, Hillcrest, & Briarwood",2259.667,1998.0,1132.333,723.103,834.92,451.709,0.853,0.858,0.805,71.0,41.0,35.0,-0.499
Brooklyn,Brooklyn CD 7,Sunset Park & Windsor Terrace,2265.333,1244.333,1047.0,716.907,471.277,401.03,0.823,0.834,0.757,59.0,42.0,40.0,-0.538
Queens,Queens CD 3,Jackson Heights & East Elmhurst,1441.0,493.333,965.667,590.04,230.785,407.424,0.825,0.949,0.905,31.0,14.0,28.0,-0.33
Bronx,Bronx CD 5,Morris Heights & Mount Hope,858.333,778.333,885.333,441.644,396.486,513.428,0.954,1.0,0.962,18.0,17.0,23.0,0.031
Staten Island,Staten Island CD 3,South Shore,505.333,397.333,848.667,274.42,252.693,417.14,0.833,0.643,0.395,14.0,9.0,16.0,0.679
Bronx,Bronx CD 1-2,"Melrose, Mott Haven, Longwood, & Hunts Point",691.667,582.667,842.667,362.495,255.575,613.006,0.977,0.918,0.978,20.0,22.0,23.0,0.218
Queens,Queens CD 6,Forest Hills & Rego Park,1389.0,780.0,842.333,571.955,519.353,375.522,0.571,0.476,0.301,31.0,17.0,25.0,-0.394
